TimeStamp,OrderId,OrderStatus,VehicleId,unix_timestamp
360,473014,UNASSIGNED,-1,1591221960
361,473014,ASSIGNED,34,1591221961
620,35556,UNASSIGNED,-1,1591222220
621,35556,ASSIGNED,34,1591222221
690,876824,UNASSIGNED,-1,1591222290
691,876824,ASSIGNED,34,1591222291
740,292125,UNASSIGNED,-1,1591222340
741,292125,ASSIGNED,29,1591222341
1040,89688,UNASSIGNED,-1,1591222640
1041,89688,ASSIGNED,34,1591222641
1067,473014,IN_PROGRESS,34,1591222667
1110,135988,UNASSIGNED,-1,1591222710
1111,135988,ASSIGNED,29,1591222711
1220,891260,UNASSIGNED,-1,1591222820
1221,891260,ASSIGNED,32,1591222821
1283,292125,IN_PROGRESS,29,1591222883
1283,437157,UNASSIGNED,-1,1591222883
1284,437157,ASSIGNED,41,1591222884
1460,37270,UNASSIGNED,-1,1591223060
1461,37270,ASSIGNED,41,1591223061
1470,4888,UNASSIGNED,-1,1591223070
1471,4888,ASSIGNED,32,1591223071
1687,437157,IN_PROGRESS,41,1591223287
1801,551496,ASSIGNED,38,1591223401
1801,537642,ASSIGNED,27,1591223401
1801,538926,ASSIGNED,27,1591223401
1801,716866,ASSIGNED,27,1591223401
1801,420556,ASSIGNED,27,1591223401
1801,30412,ASSIGNED,19,1591223401
1801,452312,ASSIGNED,19,1591223401
1801,856205,ASSIGNED,19,1591223401
1801,585669,ASSIGNED,38,1591223401
1801,497363,ASSIGNED,35,1591223401
1801,433375,ASSIGNED,19,1591223401
1801,724010,ASSIGNED,34,1591223401
1801,858795,ASSIGNED,34,1591223401
1801,32488,ASSIGNED,38,1591223401
1801,456236,ASSIGNED,35,1591223401
1801,587045,ASSIGNED,38,1591223401
1801,957947,ASSIGNED,19,1591223401
1801,216827,ASSIGNED,49,1591223401
1801,169343,ASSIGNED,49,1591223401
1801,415364,ASSIGNED,49,1591223401
1801,657100,ASSIGNED,38,1591223401
1801,886080,ASSIGNED,49,1591223401
1801,224852,ASSIGNED,44,1591223401
1801,527273,ASSIGNED,44,1591223401
1801,896814,ASSIGNED,35,1591223401
1801,802858,ASSIGNED,35,1591223401
1801,408416,ASSIGNED,14,1591223401
1801,441902,ASSIGNED,14,1591223401
1801,521963,ASSIGNED,14,1591223401
1801,685883,ASSIGNED,14,1591223401
1801,501299,ASSIGNED,21,1591223401
1801,404209,ASSIGNED,21,1591223401
1801,395454,ASSIGNED,21,1591223401
1801,61112,ASSIGNED,21,1591223401
1801,642546,ASSIGNED,44,1591223401
1801,856202,ASSIGNED,44,1591223401
