TimeStamp,OrderId,OrderStatus,VehicleId,unix_timestamp
310,508926,UNASSIGNED,-1,1591221910
311,508926,ASSIGNED,42,1591221911
320,873643,UNASSIGNED,-1,1591221920
321,873643,ASSIGNED,44,1591221921
320,989083,UNASSIGNED,-1,1591221920
321,989083,ASSIGNED,7,1591221921
360,978678,UNASSIGNED,-1,1591221960
361,978678,ASSIGNED,33,1591221961
620,596991,UNASSIGNED,-1,1591222220
621,596991,ASSIGNED,40,1591222221
660,455881,UNASSIGNED,-1,1591222260
661,455881,ASSIGNED,40,1591222261
660,800112,UNASSIGNED,-1,1591222260
661,800112,ASSIGNED,44,1591222261
690,484343,UNASSIGNED,-1,1591222290
691,484343,ASSIGNED,9,1591222291
800,540731,UNASSIGNED,-1,1591222400
801,540731,ASSIGNED,40,1591222401
843,978678,IN_PROGRESS,33,1591222443
965,989083,IN_PROGRESS,7,1591222565
1048,484343,IN_PROGRESS,9,1591222648
1052,508926,IN_PROGRESS,42,1591222652
1140,497231,UNASSIGNED,-1,1591222740
1141,497231,ASSIGNED,7,1591222741
1140,53308,UNASSIGNED,-1,1591222740
1141,53308,ASSIGNED,3,1591222741
1232,596991,IN_PROGRESS,40,1591222832
1492,53308,IN_PROGRESS,3,1591223092
1520,786398,UNASSIGNED,-1,1591223120
1521,786398,ASSIGNED,31,1591223121
1560,962819,UNASSIGNED,-1,1591223160
1561,962819,ASSIGNED,40,1591223161
1580,738939,UNASSIGNED,-1,1591223180
1581,738939,ASSIGNED,12,1591223181
1656,978678,DELIVERED,33,1591223256
1760,426884,UNASSIGNED,-1,1591223360
1761,426884,ASSIGNED,49,1591223361
1801,541704,ASSIGNED,3,1591223401
1801,618252,ASSIGNED,3,1591223401
1801,58375,ASSIGNED,42,1591223401
1801,108241,ASSIGNED,31,1591223401
1801,273043,ASSIGNED,33,1591223401
1801,122591,ASSIGNED,42,1591223401
1801,143076,ASSIGNED,20,1591223401
1801,764524,ASSIGNED,33,1591223401
